label;link;image;image_alt
Sketchbook;/album/sketchbook;/homepage/sketchbook.gif;Describe the gif here
Passwort Gesicht;/album/passwort-gesicht;/homepage/passwort-gesicht.gif;Describe the gif here
Monster;/album/monster;/homepage/monster.gif;Describe the gif here
BumBum;/album/bumbum;/homepage/bumbum.gif;Describe the gif here
Bike;/album/bike;/homepage/bike.gif;Describe the gif here
Sticken;/album/sticken;/homepage/sticken.gif;Describe the gif here
Tanke;/album/tanke;/homepage/tanke.gif;Describe the gif here
Taddeo Lorenzo Motta;/about;/homepage/taddeo.gif;Describe the gif here
Risodruck;/album/risodruck;/homepage/risodruck.gif;Describe the gif here
